,entity_name,kaggle_image_path,entity_value,prediction
21,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71dL033jd0L.jpg,960.0 horsepower,1080.0 horsepower
22,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61TYTXr1U1L.jpg,400.0 milligram,400.0 milligram
23,height,/kaggle/input/amazon-2024-100k-imgs/images/51ZTc7a54pL.jpg,105.0 centimetre,146.0 centimetre
24,voltage,/kaggle/input/amazon-2024-100k-imgs/images/41N3rW24BOL.jpg,12.0 volt,12.0 volt
25,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71Dy3AkzGIL.jpg,248.0 gram,248.0 gram
26,height,/kaggle/input/amazon-2024-100k-imgs/images/61-332+QWPL.jpg,6.0 centimetre,12.0 centimetre
27,height,/kaggle/input/amazon-2024-100k-imgs/images/51KoAMy0YnL.jpg,24.0 centimetre,90.0 centimetre
28,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71KHcXxxo0L.jpg,0.6 volt,12.0 volt
29,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51fMkxK7RrL.jpg,9.0 gram,1000.0 gram
30,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81imTzSxGxL.jpg,145.0 gram,40.0 gram
31,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81qaEV2rBoL.jpg,750.0 milligram,80.0 gram
32,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41eZYSB9RMS.jpg,283 gram,258 gram
33,height,/kaggle/input/amazon-2024-100k-imgs/images/612KD4I3cML.jpg,24.5 centimetre,10.0 centimetre
34,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71gZpPMCFNL.jpg,3.29 kilogram,1.29 kilogram
35,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/817g+BB1ibL.jpg,50.0 ounce,200.0 gram
36,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/61lKPWLp5UL.jpg,0.5 fluid ounce,164.0 millilitre
37,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61WOCGLJlpL.jpg,30 gram,30.0 gram
38,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81edJx544WL.jpg,3.0 gram,1000.0 gram
39,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/714s6J4dy3L.jpg,6.6 pound,100 gram
40,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71rAo0sXOQL.jpg,480.0 gram,480.0 gram
41,depth,/kaggle/input/amazon-2024-100k-imgs/images/614pjW9zUGL.jpg,297.0 millimetre,24.0 inch
42,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81zZuAXfy6L.jpg,360.0 gram,100 gram
43,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61uBhE+kd-L.jpg,9.0 gram,9.0 gram
44,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71gZA9PGzYS.jpg,100.0 gram,100 gram
45,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61urb6uSV6L.jpg,3.0 watt,3.0 watt
46,depth,/kaggle/input/amazon-2024-100k-imgs/images/619o2Rx2hBL.jpg,5.0 inch,4.5 centimetre
47,depth,/kaggle/input/amazon-2024-100k-imgs/images/51RlN1NMsiL.jpg,10.0 centimetre,920.0 millimetre
48,height,/kaggle/input/amazon-2024-100k-imgs/images/511FvTNIsdL.jpg,23.0 centimetre,10.0 centimetre
49,height,/kaggle/input/amazon-2024-100k-imgs/images/610kneCGHyL.jpg,5.5 inch,5.5 inch
50,width,/kaggle/input/amazon-2024-100k-imgs/images/51-pJ0AufHL.jpg,57.99 millimetre,57.99 millimetre
51,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/610FR+RH9dL.jpg,51.0 gram,51.0 gram
52,width,/kaggle/input/amazon-2024-100k-imgs/images/51XHOnB6B8L.jpg,69.0 centimetre,69.0 centimetre
53,depth,/kaggle/input/amazon-2024-100k-imgs/images/51Z8CS10pnL.jpg,12.0 inch,10.0 inch
54,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71cArVrULdL.jpg,36.4 kilogram,36.0 kilogram
55,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51-vhX1mw1S.jpg,500.0 milligram,500.0 milligram
56,height,/kaggle/input/amazon-2024-100k-imgs/images/51myE8kj31L.jpg,75.0 centimetre,75.0 centimetre
57,wattage,/kaggle/input/amazon-2024-100k-imgs/images/51m2U6vIpJL.jpg,12.0 watt,1.0 watt
58,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/918D27XECOL.jpg,3.33 ounce,25.0 cup
59,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61Ln5aPTPFL.jpg,30.0 gram,30.0 gram
60,depth,/kaggle/input/amazon-2024-100k-imgs/images/619cSLo9bOL.jpg,31.0 centimetre,31.0 centimetre
61,depth,/kaggle/input/amazon-2024-100k-imgs/images/51mcR506sjL.jpg,12.9 inch,12.9 inch
62,height,/kaggle/input/amazon-2024-100k-imgs/images/61GB7OYtgsL.jpg,16.0 centimetre,12.5 centimetre
63,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71BX-m5-GpL.jpg,4.0 ounce,1.0 ounce
64,height,/kaggle/input/amazon-2024-100k-imgs/images/61DhKiTKq-L.jpg,32.0 inch,11.0 inch
65,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61yToaXqB0L.jpg,6.0 gram,6.0 gram
66,voltage,/kaggle/input/amazon-2024-100k-imgs/images/619Q5AqIG0L.jpg,12.0 volt,12.0 volt
67,width,/kaggle/input/amazon-2024-100k-imgs/images/51VfBNdwquL.jpg,2.5 centimetre,14.47 inch
68,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71QpWtwsUHL.jpg,160.0 gram,160.0 gram
69,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/511IVDvw3YL.jpg,2.86 pound,2.06 pound
70,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81qR91nbZxL.jpg,5.0 gram,100.0 gram
71,depth,/kaggle/input/amazon-2024-100k-imgs/images/51GtkoQ7ObL.jpg,15.0 centimetre,13.0 centimetre
72,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/711d9fGhwiL.jpg,35.27 ounce,1 kilogram
73,width,/kaggle/input/amazon-2024-100k-imgs/images/51VNzsKwnyL.jpg,55.1 inch,55.1 inch
74,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71EB6KD85QL.jpg,55.0 gram,50 gram
75,depth,/kaggle/input/amazon-2024-100k-imgs/images/51n2iKOU9BL.jpg,120.0 millimetre,10.0 inch
76,depth,/kaggle/input/amazon-2024-100k-imgs/images/61FKs-oGWTL.jpg,16.9 inch,16.9 inch
77,wattage,/kaggle/input/amazon-2024-100k-imgs/images/91z8LRLeOZL.jpg,10.0 watt,60.0 watt
78,depth,/kaggle/input/amazon-2024-100k-imgs/images/611HnTLerFL.jpg,12.4 centimetre,1.3 inch
79,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/811BzAEt9sL.jpg,1.35 pound,3.8 kilogram
80,depth,/kaggle/input/amazon-2024-100k-imgs/images/61Bh0y8nGIL.jpg,17.0 centimetre,30.0 centimetre
81,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61BkUJAF6SL.jpg,76.0 gram,76.0 gram
82,depth,/kaggle/input/amazon-2024-100k-imgs/images/51pU9ao2jTL.jpg,205.0 millimetre,205.0 millimetre
83,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71AY6ACFouL.jpg,2000.0 milligram,2000.0 milligram
84,width,/kaggle/input/amazon-2024-100k-imgs/images/51AxA17CxqL.jpg,5.5 inch,5.5 inch
85,width,/kaggle/input/amazon-2024-100k-imgs/images/51uNOduORnL.jpg,42.0 inch,28.0 inch
86,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61E6sk2ltlL.jpg,5.5 ounce,156 gram
87,width,/kaggle/input/amazon-2024-100k-imgs/images/51B5hrbvKoL.jpg,5.0 centimetre,5.0 centimetre
88,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71sWe5E0xVL.jpg,60.0 watt,80.0 watt
89,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81NNwSU7TlL.jpg,1.067 gram,20.0 gram
90,height,/kaggle/input/amazon-2024-100k-imgs/images/611n6v+Q7ZS.jpg,21.5 centimetre,21.5 centimetre
91,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/812fGCKMUjL.jpg,8.45 fluid ounce,20.0 millilitre
92,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81EID4GtwNL.jpg,28 pound,73.0 gram
93,width,/kaggle/input/amazon-2024-100k-imgs/images/61DoFXZ2fnS.jpg,12.0 foot,12.0 inch
94,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61LPFw0c13L.jpg,150.0 gram,150.0 gram
95,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81jmLCjO9FL.jpg,8220.0 milligram,8220.0 milligram
96,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61bwKSx4mfL.jpg,30.0 gram,1.0 ounce
97,height,/kaggle/input/amazon-2024-100k-imgs/images/417Yshl3HdL.jpg,40.0 centimetre,40.0 centimetre
98,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71FzW1htm3L.jpg,60 gram,100 gram
99,depth,/kaggle/input/amazon-2024-100k-imgs/images/61CSemT7+oL.jpg,50.8 centimetre,50.8 centimetre
100,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71DLOiBuG7L.jpg,23.4 gram,23.4 gram
101,depth,/kaggle/input/amazon-2024-100k-imgs/images/51Ml2QwAftS.jpg,0.5 metre,12000.0 millimetre
102,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71T4fUHr5DL.jpg,155.0 pound,150.0 pound
103,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61ajaYDgRML.jpg,20.0 ounce,20.0 ounce
104,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61BRcueC4YL.jpg,1.8 gram,1.8 gram
105,height,/kaggle/input/amazon-2024-100k-imgs/images/61BGz+NviaL.jpg,5.2 inch,5.24 inch
106,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71PbM0I+q3L.jpg,"[100.0, 240.0] volt","[100.0, 240.0]"
107,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51zxOcdtHPL.jpg,36.0 gram,100 gram
108,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71fysvexq3L.jpg,54.0 watt,54.0 watt
109,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/516QNQRTpHL.jpg,428.0 gallon,1.0 litre
110,depth,/kaggle/input/amazon-2024-100k-imgs/images/61BpSCfG7LL.jpg,10.0 inch,10.0 inch
111,depth,/kaggle/input/amazon-2024-100k-imgs/images/51lN0gRMxJS.jpg,15.0 centimetre,10.0 centimetre
112,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/31zqTTIqW2L.jpg,1.402 gram,100.0 gram
113,height,/kaggle/input/amazon-2024-100k-imgs/images/5161PLLKEML.jpg,20.5 centimetre,20.5 centimetre
114,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81bo3bZ5cDL.jpg,342 gram,340.0 gram
115,depth,/kaggle/input/amazon-2024-100k-imgs/images/41DgNxtcAiL.jpg,4.33 inch,4.33 inch
116,depth,/kaggle/input/amazon-2024-100k-imgs/images/51-vh4kSpKL.jpg,7.0 centimetre,11.0 centimetre
117,width,/kaggle/input/amazon-2024-100k-imgs/images/51k9rNaYEGL.jpg,6.5 centimetre,14.0 centimetre
118,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71kZ639-CeL.jpg,100 gram,100 gram
119,depth,/kaggle/input/amazon-2024-100k-imgs/images/61--voa2F8L.jpg,56.0 inch,56.0 inch
120,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81ai2yuhGrL.jpg,10 kilogram,60.5 gram
121,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51Ok+7EaPmL.jpg,97.0 gram,3.42 ounce
122,depth,/kaggle/input/amazon-2024-100k-imgs/images/611QZrITxUL.jpg,23.0 centimetre,23.0 centimetre
123,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/713mqE1QvVL.jpg,10.0 gram,10.0 gram
124,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71K5ac1fs0L.jpg,567.0 gram,547.0 gram
125,depth,/kaggle/input/amazon-2024-100k-imgs/images/51mn5lWMLGL.jpg,7.0 inch,7.0 inch
126,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71v29kDrKUL.jpg,60.0 watt,60.0 watt
127,depth,/kaggle/input/amazon-2024-100k-imgs/images/51IA8yIqbDL.jpg,23.0 centimetre,23.0 centimetre
128,wattage,/kaggle/input/amazon-2024-100k-imgs/images/61JgzBchahL.jpg,60.0 watt,60.0 watt
129,depth,/kaggle/input/amazon-2024-100k-imgs/images/51I6+G0+c6L.jpg,122.0 millimetre,122.0 millimetre
130,width,/kaggle/input/amazon-2024-100k-imgs/images/61FsWIR9inL.jpg,12.0 centimetre,16.5 centimetre
131,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51QbcHaLcFL.jpg,76 ounce,100 gram
132,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71qZrTsdVnL.jpg,1.5 kilogram,50.0 gram
133,width,/kaggle/input/amazon-2024-100k-imgs/images/616aYFHRW6L.jpg,40.0 centimetre,40.0 centimetre
134,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71zwZY7bJVL.jpg,70.0 gram,100.0 gram
135,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/51NBIRi0OLL.jpg,150 gram,150 gram
136,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71IXjYAzsML.jpg,10.5 watt,240.0 watt
137,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71HOa-P+G0L.jpg,"[85.0, 265.0] volt",12.0 volt
138,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71i-p20qKJL.jpg,3.0 ton,2.0 pound
139,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81L02mve3ZL.jpg,750 gram,200 gram
140,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/719LcMF-13L.jpg,250.0 milligram,250.0 milligram
141,depth,/kaggle/input/amazon-2024-100k-imgs/images/51Mp0vxm5qL.jpg,18.0 centimetre,6.0 centimetre
142,height,/kaggle/input/amazon-2024-100k-imgs/images/61AVdhdx-5S.jpg,11.5 inch,11.5 inch
143,depth,/kaggle/input/amazon-2024-100k-imgs/images/61Bz0XpdW1L.jpg,4.0 inch,28.44 inch
144,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61to1wEbefL.jpg,3.2 gram,3.2 gram
145,depth,/kaggle/input/amazon-2024-100k-imgs/images/51wdrRg8ewL.jpg,8.0 centimetre,8.0 centimetre
146,height,/kaggle/input/amazon-2024-100k-imgs/images/51gZN9qckrL.jpg,8.27 inch,8.27 inch
147,depth,/kaggle/input/amazon-2024-100k-imgs/images/510d2SqfWJL.jpg,15.0 inch,10.0 inch
148,height,/kaggle/input/amazon-2024-100k-imgs/images/514QU-Ud30L.jpg,8.88 inch,8.5 inch
149,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71ZeDsPCN8L.jpg,36.0 volt,36.0 volt
150,width,/kaggle/input/amazon-2024-100k-imgs/images/51fdmqJPjBL.jpg,22.0 centimetre,22.0 centimetre
151,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/71MC0BTwxlL.jpg,1.0 ounce,4.0 ton
152,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71qB4WhsocL.jpg,1000.0 milligram,1000.0 milligram
153,depth,/kaggle/input/amazon-2024-100k-imgs/images/615EQ6bodgL.jpg,57.0 centimetre,57.0 centimetre
154,width,/kaggle/input/amazon-2024-100k-imgs/images/51RZTd8E2rL.jpg,45.0 centimetre,80.0 centimetre
155,voltage,/kaggle/input/amazon-2024-100k-imgs/images/51JRbKd1sCL.jpg,"[85.0, 265.0] volt","[85.0, 265.0] volt"
156,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61dDtW7pt2L.jpg,410.0 gram,100.0 gram
157,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71Z6ZMSlFDL.jpg,4.9 gram,1.0 ounce
158,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61drlEOaESL.jpg,7.5 kilogram,7.5 kilogram
159,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/818IIsl-f5S.jpg,96.0 gram,36.0 gram
160,width,/kaggle/input/amazon-2024-100k-imgs/images/617hEM+9UmL.jpg,50.0 centimetre,50.0 centimetre
161,width,/kaggle/input/amazon-2024-100k-imgs/images/514YbeZK6dS.jpg,4.9 inch,4.9 inch
162,depth,/kaggle/input/amazon-2024-100k-imgs/images/51e0l0u1ciL.jpg,7.48 inch,7.48 inch
163,height,/kaggle/input/amazon-2024-100k-imgs/images/41mh2xd0P-L.jpg,27.0 inch,27.0 inch
164,wattage,/kaggle/input/amazon-2024-100k-imgs/images/71jZLVhFPLL.jpg,1.0 watt,1.0 watt
165,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81GDMOyh1hL.jpg,20.0 gram,100 gram
166,width,/kaggle/input/amazon-2024-100k-imgs/images/51U1oi0TSnL.jpg,115.0 millimetre,150.0 millimetre
167,width,/kaggle/input/amazon-2024-100k-imgs/images/61+isv6gpiL.jpg,19.5 centimetre,19.5 centimetre
168,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71+WWSyIq5L.jpg,1.6 kilogram,1.8 kilogram
169,height,/kaggle/input/amazon-2024-100k-imgs/images/51CEBvfJfAL.jpg,92.0 centimetre,240.0 centimetre
170,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81UfJM9uh1L.jpg,3 kilogram,3.0 kilogram
171,voltage,/kaggle/input/amazon-2024-100k-imgs/images/61oWcyC0JGL.jpg,36.0 volt,36.0 volt
172,depth,/kaggle/input/amazon-2024-100k-imgs/images/51GLEbbrgOL.jpg,36.0 centimetre,79.0 centimetre
173,height,/kaggle/input/amazon-2024-100k-imgs/images/61AAofD-Y6L.jpg,5.1 inch,5.1 inch
174,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61bNNVSHa9S.jpg,1000.0 microgram,1000.0 microgram
175,depth,/kaggle/input/amazon-2024-100k-imgs/images/51dc8bJhhcS.jpg,15.0 centimetre,10.0 centimetre
176,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41Al84F5n4L.jpg,1100.0 gram,100 gram
177,width,/kaggle/input/amazon-2024-100k-imgs/images/51ssosP9GDL.jpg,53.3 centimetre,53.3 centimetre
178,height,/kaggle/input/amazon-2024-100k-imgs/images/41WwyT1JtnL.jpg,9.8 inch,10.0 inch
179,depth,/kaggle/input/amazon-2024-100k-imgs/images/610tRF2LhAL.jpg,9.3 inch,6.5 inch
180,height,/kaggle/input/amazon-2024-100k-imgs/images/51sdcUF8XiL.jpg,28.0 centimetre,28.0 centimetre
181,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71Xt2sCLjNL.jpg,23.0 pound,1.0 pound
182,depth,/kaggle/input/amazon-2024-100k-imgs/images/617ZKjJXekS.jpg,22.0 centimetre,22.0 centimetre
183,voltage,/kaggle/input/amazon-2024-100k-imgs/images/71PG+2NN1fL.jpg,36.0 volt,36.0 volt
184,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/512sHs1+OqL.jpg,220.0 pound,220.0 pound
185,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71y1PrDGldL.jpg,125.0 kilogram,125.0 kilogram
186,width,/kaggle/input/amazon-2024-100k-imgs/images/51nl+AUT-wL.jpg,3.8 centimetre,3.8 centimetre
187,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/31FrLsTghFS.jpg,280 gram,287.0 gram
188,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/61r5YLOyDeL.jpg,96100.0 ton,8.0 ton
189,depth,/kaggle/input/amazon-2024-100k-imgs/images/616lwzM9HAL.jpg,4.0 inch,3.5 inch
190,width,/kaggle/input/amazon-2024-100k-imgs/images/51XZI4G3B-L.jpg,12.0 millimetre,12.0 millimetre
191,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61XF+qGpFNL.jpg,21.5 gram,21.5 gram
192,depth,/kaggle/input/amazon-2024-100k-imgs/images/51+K1JhSnzL.jpg,85.0 millimetre,48.0 millimetre
193,width,/kaggle/input/amazon-2024-100k-imgs/images/61FNOGQTafL.jpg,6.2 centimetre,6.2 centimetre
194,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71vYvVZvtXL.jpg,45.0 gram,45.0 gram
195,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71p7UZ0SssL.jpg,1.03 pound,470.0 gram
196,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61NNy8OzP0L.jpg,2.0 gram,800.0 gram
197,depth,/kaggle/input/amazon-2024-100k-imgs/images/51mQhzXpqxL.jpg,32.0 centimetre,32.0 centimetre
198,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/91R0CScj2fL.jpg,400.0 milligram,400.0 milligram
199,width,/kaggle/input/amazon-2024-100k-imgs/images/51-2UrKI2kL.jpg,35.0 centimetre,35.0 centimetre
200,width,/kaggle/input/amazon-2024-100k-imgs/images/610M8WsA9nL.jpg,19.0 inch,10.0 inch
201,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61LIE3SspqL.jpg,14 gram,14.0 gram
202,item_volume,/kaggle/input/amazon-2024-100k-imgs/images/71VbyiL55TL.jpg,200.0 millilitre,200.0 millilitre
203,depth,/kaggle/input/amazon-2024-100k-imgs/images/51m0pbq937L.jpg,50.4 millimetre,100.0 millimetre
204,width,/kaggle/input/amazon-2024-100k-imgs/images/61DSdyqRX0L.jpg,40.0 centimetre,150.0 centimetre
205,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/713lrFlE7EL.jpg,100.0 kilogram,100.0 kilogram
206,height,/kaggle/input/amazon-2024-100k-imgs/images/51Wj8iBLzZL.jpg,313.0 millimetre,4.0 centimetre
207,height,/kaggle/input/amazon-2024-100k-imgs/images/611xoU5YFFL.jpg,4.0 centimetre,10.0 centimetre
208,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71xBuPsZ-2L.jpg,215.0 gram,215.0 gram
209,height,/kaggle/input/amazon-2024-100k-imgs/images/51GmYWC6ioL.jpg,18.86 inch,9.0 inch
210,width,/kaggle/input/amazon-2024-100k-imgs/images/61-j3AvrqkL.jpg,11.41 inch,10.0 inch
211,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61cGlGqkWlL.jpg,54.9 gram,54.9 gram
212,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61EHhiQNBgL.jpg,40.0 pound,40.0 pound
213,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/41tbfJRTzAL.jpg,1 kilogram,1.8 kilogram
214,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/71X09fKUUUL.jpg,2.94 gram,2.94 gram
215,voltage,/kaggle/input/amazon-2024-100k-imgs/images/81Bc7kiIkIL.jpg,100.0 volt,100.0 volt
216,depth,/kaggle/input/amazon-2024-100k-imgs/images/51p-dw39TdL.jpg,43.0 centimetre,43.0 centimetre
217,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/717RwX2LazL.jpg,70.0 pound,100.0 gram
218,height,/kaggle/input/amazon-2024-100k-imgs/images/516-JQsBJRL.jpg,26.0 centimetre,26.0 centimetre
219,voltage,/kaggle/input/amazon-2024-100k-imgs/images/711elZYRUoL.jpg,250.0 volt,12.0 volt
220,depth,/kaggle/input/amazon-2024-100k-imgs/images/51-dj2PPj9L.jpg,4.0 inch,40.0 centimetre
221,height,/kaggle/input/amazon-2024-100k-imgs/images/514948-+v3L.jpg,8.8 centimetre,8.8 centimetre
222,height,/kaggle/input/amazon-2024-100k-imgs/images/51JBeOZiL1L.jpg,40.0 centimetre,11.0 centimetre
223,width,/kaggle/input/amazon-2024-100k-imgs/images/419dZ5IKIfL.jpg,60.0 centimetre,60.0 centimetre
224,width,/kaggle/input/amazon-2024-100k-imgs/images/610Y0pascfL.jpg,48.0 centimetre,54.0 centimetre
225,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/81QjzbpbhNL.jpg,7.5 kilogram,7.5 kilogram
226,wattage,/kaggle/input/amazon-2024-100k-imgs/images/710R9Z6YcaL.jpg,100.0 watt,100.0 watt
227,width,/kaggle/input/amazon-2024-100k-imgs/images/41DDaYAIRlS.jpg,150.0 centimetre,150.0 centimetre
228,maximum_weight_recommendation,/kaggle/input/amazon-2024-100k-imgs/images/71IF6bABqHL.jpg,1200 pound,86.6 pound
229,height,/kaggle/input/amazon-2024-100k-imgs/images/51RH+rFRfPL.jpg,18.0 millimetre,14.0 millimetre
230,depth,/kaggle/input/amazon-2024-100k-imgs/images/61F72o99KGL.jpg,29.5 centimetre,29.5 centimetre
231,item_weight,/kaggle/input/amazon-2024-100k-imgs/images/61-dCSoiWEL.jpg,90.0 gram,200.0 gram
